deck;format;proxy;maindeck;count;card
Kinnan;Brawl;V;M;1;A-The One Ring
Kinnan;Brawl;V;M;1;An Offer You Can't Refuse
Kinnan;Brawl;V;M;1;Arcane Signet
Kinnan;Brawl;V;M;1;Badgermole Cub
Kinnan;Brawl;V;M;1;Barkchannel Pathway
Kinnan;Brawl;V;M;1;Birds of Paradise
Kinnan;Brawl;V;M;1;Bloom Tender
Kinnan;Brawl;V;M;1;Boseiju, Who Endures
Kinnan;Brawl;V;M;1;Botanical Sanctum
Kinnan;Brawl;V;M;1;Breeding Pool
Kinnan;Brawl;V;M;1;Bridgeworks Battle
Kinnan;Brawl;V;M;1;Chord of Calling
Kinnan;Brawl;V;M;1;Coldsteel Heart
Kinnan;Brawl;V;M;1;Colossal Skyturtle
Kinnan;Brawl;V;M;1;Command Tower
Kinnan;Brawl;V;M;1;Craterhoof Behemoth
Kinnan;Brawl;V;M;1;Cyclonic Rift
Kinnan;Brawl;V;M;1;Defense of the Heart
Kinnan;Brawl;V;M;1;Desert Cenote
Kinnan;Brawl;V;M;1;Elvish Mystic
Kinnan;Brawl;V;M;1;Enduring Vitality
Kinnan;Brawl;V;M;1;Fabled Passage
Kinnan;Brawl;V;M;1;Fabricate
Kinnan;Brawl;V;M;1;Fanatic of Rhonas
Kinnan;Brawl;V;M;1;Finale of Devastation
Kinnan;Brawl;V;M;11;Forest
Kinnan;Brawl;V;M;1;Generous Ent
Kinnan;Brawl;V;M;1;Ghalta, Primal Hunger
Kinnan;Brawl;V;M;1;Ghalta, Stampede Tyrant
Kinnan;Brawl;V;M;1;Gyre Engineer
Kinnan;Brawl;V;M;1;Hedge Maze
Kinnan;Brawl;V;M;1;Horned Loch-Whale
Kinnan;Brawl;V;M;1;Huatli's Final Strike
Kinnan;Brawl;V;M;1;Hullbreaker Horror
Kinnan;Brawl;V;M;1;Hydroelectric Specimen
Kinnan;Brawl;V;M;1;Ilysian Caryatid
Kinnan;Brawl;V;M;10;Island
Kinnan;Brawl;V;M;1;Kenrith's Transformation
Kinnan;Brawl;V;M;1;Kiora, Behemoth Beckoner
Kinnan;Brawl;V;M;1;Kogla, the Titan Ape
Kinnan;Brawl;V;M;1;Koma, Cosmos Serpent
Kinnan;Brawl;V;M;1;Koma, World-Eater
Kinnan;Brawl;V;M;1;Llanowar Elves
Kinnan;Brawl;V;M;1;Manglehorn
Kinnan;Brawl;V;M;1;Marang River Regent
Kinnan;Brawl;V;M;1;Mind Stone
Kinnan;Brawl;V;M;1;Misty Rainforest
Kinnan;Brawl;V;M;1;Mox Amber
Kinnan;Brawl;V;M;1;Negate
Kinnan;Brawl;V;M;1;Nezahal, Primal Tide
Kinnan;Brawl;V;M;1;Nurturing Bristleback
Kinnan;Brawl;V;M;1;Nyxbloom Ancient
Kinnan;Brawl;V;M;1;Ornate Imitations
Kinnan;Brawl;V;M;1;Ornithopter of Paradise
Kinnan;Brawl;V;M;1;Ouroboroid
Kinnan;Brawl;V;M;1;Overlord of the Floodpits
Kinnan;Brawl;V;M;1;Overlord of the Hauntwoods
Kinnan;Brawl;V;M;1;Pact of Negation
Kinnan;Brawl;V;M;1;Palladium Myr
Kinnan;Brawl;V;M;1;Paradox Engine
Kinnan;Brawl;V;M;1;Prime Speaker Zegana
Kinnan;Brawl;V;M;1;Prismatic Vista
Kinnan;Brawl;V;M;1;Quilled Greatwurm
Kinnan;Brawl;V;M;1;Railway Brawler
Kinnan;Brawl;V;M;1;Rampaging Brontodon
Kinnan;Brawl;V;M;1;Rapid Hybridization
Kinnan;Brawl;V;M;1;Reclamation Sage
Kinnan;Brawl;V;M;1;Resculpt
Kinnan;Brawl;V;M;1;Sink into Stupor
Kinnan;Brawl;V;M;1;Snakeskin Veil
Kinnan;Brawl;V;M;1;Springleaf Drum
Kinnan;Brawl;V;M;1;Swan Song
Kinnan;Brawl;V;M;1;Sylvan Tutor
Kinnan;Brawl;V;M;1;Tender Wildguide
Kinnan;Brawl;V;M;1;Thorn Mammoth
Kinnan;Brawl;V;M;1;Twitching Doll
Kinnan;Brawl;V;M;1;Willowrush Verge
Kinnan;Brawl;V;M;1;Witness Protection
Kinnan;Brawl;V;M;1;Wurmcoil Engine
Kinnan;Brawl;V;M;1;Yavimaya Coast
Kinnan;Brawl;V;C;1;Kinnan, Bonder Prodigy
